Common Name,Species,Year,Region,Latitude,Longitude,Depth
Banded drum,Larimus fasciatus,1986,Gulf of Mexico,28.6070577922815,-94.6797530715312,47.3813280102267
Banded drum,Larimus fasciatus,1987,Gulf of Mexico,29.1597895581726,-92.6797301867093,33.8257410649383
Banded drum,Larimus fasciatus,1988,Gulf of Mexico,28.64267030442,-94.0845339414151,42.4599503423813
Banded drum,Larimus fasciatus,1989,Gulf of Mexico,28.9454456517343,-94.1946243223626,36.0442898119154
Banded drum,Larimus fasciatus,1990,Gulf of Mexico,28.7204103836796,-94.3549240949679,45.7186030769106
Banded drum,Larimus fasciatus,1991,Gulf of Mexico,28.2857433676631,-95.1762433253487,51.2063452566806
Banded drum,Larimus fasciatus,1992,Gulf of Mexico,27.1980404281686,-96.4967904497653,43.0035200676846
Banded drum,Larimus fasciatus,1993,Gulf of Mexico,28.9544529072157,-94.2208729661712,36.0326160223415
Banded drum,Larimus fasciatus,1994,Gulf of Mexico,28.0957123031747,-95.7167700269033,50.3594727411242
Banded drum,Larimus fasciatus,1995,Gulf of Mexico,27.2638161841173,-96.1972931824537,43.3380337223657
Banded drum,Larimus fasciatus,1996,Gulf of Mexico,28.3152468622182,-95.4894692136874,53.17378660442
Banded drum,Larimus fasciatus,1997,Gulf of Mexico,27.6831064062932,-96.3517879460163,46.8474592778591
Banded drum,Larimus fasciatus,1998,Gulf of Mexico,28.2304762294211,-95.2317222376308,43.8983614038397
Banded drum,Larimus fasciatus,1999,Gulf of Mexico,28.2280412451343,-95.3624416283218,44.0099665493764
Banded drum,Larimus fasciatus,2000,Gulf of Mexico,28.8187805822174,-93.5171906247437,38.1735926527349
Banded drum,Larimus fasciatus,2001,Gulf of Mexico,28.1956070733566,-94.3599070220165,51.1467702564685
Banded drum,Larimus fasciatus,2002,Gulf of Mexico,27.1657306931627,-96.7491697638126,46.4106309392036
Banded drum,Larimus fasciatus,2003,Gulf of Mexico,28.3218512435989,-93.7144372573958,48.6254715420715
Banded drum,Larimus fasciatus,2004,Gulf of Mexico,28.1068290359527,-93.7925379954378,45.5164222379087
Banded drum,Larimus fasciatus,2005,Gulf of Mexico,28.591638086129,-93.0983451340184,51.4928394829648
Banded drum,Larimus fasciatus,2006,Gulf of Mexico,28.3526164498252,-95.4047964072789,39.9044944268235
Banded drum,Larimus fasciatus,2007,Gulf of Mexico,28.5762584188714,-94.3155193050413,45.1143379248072
Banded drum,Larimus fasciatus,2008,Gulf of Mexico,28.6116741235834,-93.675904040342,54.1774321758749
Banded drum,Larimus fasciatus,2009,Gulf of Mexico,28.7465108666974,-93.5037009266144,53.039060119625
Banded drum,Larimus fasciatus,2010,Gulf of Mexico,28.6178771880036,-92.6635325188257,49.9369763231314
